ts_ct,ts_utc,waitlist_status,parties_ahead,wait_min_minutes,wait_max_minutes,party_size,source,note
2026-08-15T09:50:00,2026-08-15T14:50:00.027Z,OPEN,38,55,70,2,api,
2026-08-15T09:51:00,2026-08-15T14:51:00.027Z,OPEN,37,55,65,2,api,
2026-08-15T09:52:00,2026-08-15T14:52:00.003Z,OPEN,38,55,70,2,api,
2026-08-15T09:53:00,2026-08-15T14:53:00.006Z,OPEN,38,55,70,2,api,
2026-08-15T09:54:00,2026-08-15T14:54:00.003Z,OPEN,38,55,70,2,api,
2026-08-15T09:55:00,2026-08-15T14:55:00.029Z,OPEN,37,55,65,2,api,
2026-08-15T09:56:00,2026-08-15T14:56:00.003Z,OPEN,37,55,65,2,api,
2026-08-15T09:57:00,2026-08-15T14:57:00.028Z,OPEN,38,55,70,2,api,
2026-08-15T09:58:00,2026-08-15T14:58:00.014Z,OPEN,38,55,70,2,api,
2026-08-15T09:59:00,2026-08-15T14:59:00.028Z,OPEN,39,55,70,2,api,
2026-08-15T10:00:00,2026-08-15T15:00:00.024Z,OPEN,41,55,70,2,api,
2026-08-15T10:01:00,2026-08-15T15:01:00.003Z,OPEN,45,60,75,2,api,
2026-08-15T10:02:00,2026-08-15T15:02:00.027Z,OPEN,45,60,75,2,api,
2026-08-15T10:03:00,2026-08-15T15:03:00.019Z,OPEN,45,60,75,2,api,
2026-08-15T10:04:00,2026-08-15T15:04:00.028Z,OPEN,43,60,75,2,api,
2026-08-15T10:05:00,2026-08-15T15:05:00.028Z,OPEN,44,60,75,2,api,
2026-08-15T10:06:00,2026-08-15T15:06:00.003Z,OPEN,46,65,80,2,api,
2026-08-15T10:07:00,2026-08-15T15:07:00.006Z,OPEN,45,60,75,2,api,
2026-08-15T10:08:00,2026-08-15T15:08:00.028Z,OPEN,47,65,80,2,api,
2026-08-15T10:09:00,2026-08-15T15:09:00.028Z,OPEN,48,65,80,2,api,
2026-08-15T10:10:00,2026-08-15T15:10:00.029Z,OPEN,47,65,80,2,api,
2026-08-15T10:11:00,2026-08-15T15:11:00.029Z,OPEN,48,65,80,2,api,
2026-08-15T10:12:00,2026-08-15T15:12:00.003Z,OPEN,47,65,80,2,api,
2026-08-15T10:13:00,2026-08-15T15:13:00.027Z,OPEN,48,65,80,2,api,
2026-08-15T10:14:00,2026-08-15T15:14:00.027Z,OPEN,48,65,80,2,api,
2026-08-15T10:15:00,2026-08-15T15:15:00.029Z,OPEN,47,65,80,2,api,
2026-08-15T10:16:00,2026-08-15T15:16:00.011Z,OPEN,47,65,80,2,api,
2026-08-15T10:17:00,2026-08-15T15:17:00.015Z,OPEN,48,65,80,2,api,
2026-08-15T10:18:00,2026-08-15T15:18:00.028Z,OPEN,48,65,80,2,api,
2026-08-15T10:19:00,2026-08-15T15:19:00.027Z,OPEN,45,60,75,2,api,
